name,Weight,Class,Energy,Protein,Fat,Carbohydrate,Total Dietary,Calcium,Iron,Sodium,Vitamin A (Retinol),Vitamin A (Beta-Carotene),Vitamin B1 (Thiamine),Vitamin B2 (Rivoflavin),Vitamin C,Linoleic Acid,Alpha-Linolenic Acid,EPA,DHA
닭살카레라이스,148,일품요리,280,10.9745,5.7218,46.4158,1.52,24.75,1.7785,20.8,11.75,51.84583333,0.1884,0.1013,4.0465,1.5376525,0.2046429,0,0
닭살토마토소스덮밥,205,일품요리,282.91,10.8776,5.4712,46.9223,3.611,39.91,1.5614,490.99,11.75,101.05,0.22611,0.16232,2.1462,2.4771136,0.2272194,0,0
알리오올리오스파게티,47,일품요리,181.21,5.77715,3.2318,32.48005,1.7215,40.075,0.8955,41.82,5.1,13.07166667,0.03531,0.07692,1.3093,0.51321425,0.0595431,0,0
미트볼스파게티,110,일품요리,243.1,7.546,8.0495,35.6055,1.71,18.3,1.116,128.65,5.4,9.283333333,0.07845,0.12535,8.838,1.101763,0.1123485,0,0
닭살토마토스파게티,230,일품요리,330.66,13.3116,6.3612,56.1233,5.501,55.36,1.7894,602.89,9.4,109.15,0.17751,0.17552,2.2162,3.0470526,0.2573624,0,0
돼지고기채소볶음밥,96,일품요리,223.97,6.9812,5.4243,35.2957,0.64,7.81,0.7458,152.84,1.43,26.27083333,0.23357,0.07159,10.942,1.8631409,0.2161019,0.3558,0.4425
돼지고기볶음밥,106,일품요리,242.87,8.8522,6.5433,35.2772,0.58,9.06,0.8018,157.59,2.13,26.27916667,0.29962,0.06834,11.348,2.0222539,0.2231569,0.3558,0.5595
소고기파프리카볶음밥,111,일품요리,262.17,8.5082,8.7573,35.5717,0.52,7.36,1.2143,158.09,3.63,6.204166667,0.10122,0.12669,30.9255,1.6218924,0.2095074,0.3558,0.2085
닭살파프리카볶음밥,93.8,일품요리,209.066,9.8519,3.16203,33.31978,0.299,6.977,0.7475,112.438,3,4.1295,0.15919,0.07581,14.342,1.4115462,0.17219544,0,0
오징어덮밥,147,일품요리,244.96,9.6445,3.8744,41.9215,2.637,27.69,0.9425,164.66,0,65.97416667,0.14516,0.13315,6.8395,1.6979359,0.2175573,47.37,186.33
오징어채소덮밥,171,일품요리,248.87,9.4062,3.6468,43.4432,2.04,29.01,0.8303,207.29,0.03,53.19166667,0.14127,0.07039,7.617,1.5453604,0.2177209,47.7258,186.5385
돼지고기굴소스덮밥,117.1,일품요리,264.307,9.0589,6.5494,40.4898,0.76,14.711,0.8614,205.766,2.14,24.41516667,0.30497,0.06789,3.5025,2.0212187,0.2226364,0.4744,0.629
닭갈비덮밥,117.1,일품요리,243.007,10.3249,3.5944,40.5198,0.76,16.211,0.9964,208.466,14.14,24.41516667,0.16637,0.10329,3.1665,1.5326627,0.2016154,0.4744,0.278
돈육채소덮밥,117.1,일품요리,264.307,9.0589,6.5494,40.4898,0.76,14.711,0.8614,205.766,2.14,24.41516667,0.30497,0.06789,3.5025,2.0212187,0.2226364,0.4744,0.629
돈육굴소스볶음밥,171,일품요리,260.92,9.7737,6.5963,39.5002,2.12,28.51,1.0078,161.19,2.13,54.34583333,0.32817,0.09669,8.1305,2.0355229,0.2398129,0.3558,0.5595
참치김치볶음밥,123.1,일품요리,214.87,7.646,3.9411,35.5671,1.05,27.32,2.0042,207.257,0,77.17583333,0.1295,0.05265,3.2015,1.448144,0.1443858,0,0
날치알김치볶음밥,123.1,일품요리,204.07,4.826,3.5511,36.7671,1.05,26.27,0.9842,283.007,0,77.17583333,0.1295,0.04515,3.3515,1.448144,0.1443858,0,0
오징어김치볶음밥,133,일품요리,213.17,8.006,3.5811,35.5621,1.05,26.88,0.849,103.41,0,77.17583333,0.139,0.04865,3.2015,1.448644,0.1444858,39.475,155.275
돈육김치비빔밥,128,일품요리,219.97,7.341,5.1716,35.5141,1.01,29.08,1.016,58.66,1.05,4.950833333,0.24305,0.09215,2.81,1.8247935,0.1701608,0,0.1755
돼지고기김치볶음밥,133.3,일품요리,236.517,8.2523,6.0377,35.5884,1.05,25.991,0.9864,133.15,1.75,77.18683333,0.29211,0.06687,3.4815,1.855274,0.1619033,0,0.2925
돈육김치볶음밥,133.2,일품요리,236.17,8.241,6.0336,35.5221,1.05,25.71,0.9669,133.104,1.75,77.17583333,0.292,0.06665,3.4815,1.855274,0.1619033,0,0.2925
돈육양배추덮밥,137,일품요리,253.51,7.4491,5.4483,42.338,1.515,21.78,0.8524,202.77,1.44,50.87083333,0.24971,0.07687,5.964,1.8664052,0.2256249,0.4744,0.512
돈육잡채덮밥,119,일품요리,284.9,6.2065,5.9084,50.3941,0.844,30.16,1.7775,166.97,1.05,82.0675,0.20792,0.14095,10.361,2.195316,0.2140451,0,0.1755
두부굴소스볶음밥,118,일품요리,219.39,5.9461,4.5649,37.1238,1.827,29.74,1.0879,144.95,0.03,58.69333333,0.11726,0.09728,1.7109,2.2524858,0.3206559,0.3558,0.2085
우렁된장소스덮밥,65.5,일품요리,160.075,6.06304,0.88857,32.69811,2.0888,138.73,2.31588,205.922,0.91,8.970583333,0.130891,0.138951,0.77788,0.30928023,0.03192658,2.10714,7.2814
마파두부덮밥,100.1,일품요리,247.827,8.5124,6.5752,36.8349,1.069,26.701,1.2985,171.646,2.4,5.66725,0.224915,0.140655,0.2961,2.28185885,0.3005698,0,0
마파배추덮밥,169,일품요리,256.84,8.1164,5.4662,42.4499,2.159,38.1,1.3503,192.78,0.7,74,0.23595,0.14445,7.9189,2.3028398,0.3039524,0,0.117
메밀소바,102,일품요리,192.32,7.5724,0.691,38.3782,2.402,20.42,1.6185,499.87,0,12.86166667,0.0735,0.14879,2.5785,0.2920268,0.0150502,0,0
미나리불고기덮밥,116,일품요리,249.73,5.6526,7.1512,39.3747,1.433,22.32,1.0119,16.94,3.9,49.13166667,0.11131,0.10116,4.7281,1.6208401,0.2161649,0,0
바지락칼국수,132,일품요리,270.76,8.334,0.8635,54.7058,2.311,28.25,0.9006,417.16,0,48.21666667,0.05128,0.09573,2.6895,0.380312,0.0285895,10.875,20.9625
새우파래볶음밥,98.3,일품요리,92.9,7.361,4.6808,5.2238,1.26,38.62,1.4766,196.091,27.2,47.14583333,0.06585,0.1424,6.738,1.7556825,0.2068099,0.32,14.144
방울토마토새우볶음밥,128.3,일품요리,101.8,7.543,4.7178,7.3368,1.89,37.12,1.2146,185.891,27.2,70.94583333,0.04565,0.1632,7.686,1.7799985,0.2068339,0,14.144
오징어버섯덮밥,148,일품요리,253.47,8.6927,5.5525,41.5469,1.665,25.21,0.8868,197.54,0.03,29.57916667,0.15212,0.11319,5.9125,2.5654304,0.3373465,39.8308,155.4835
해물버섯덮밥,205,일품요리,271.7,10.758,5.4625,43.5965,1.195,30.6,0.9855,62.05,0,26.24583333,0.06645,0.09755,3.8835,2.561241,0.3336355,23.685,93.165
새우버섯덮밥,150,일품요리,254.45,8.339,5.4075,43.3425,2.1,28,1.518,293.45,0.05,46.225,0.14545,0.1812,3.1405,2.5907765,0.3397805,0.593,0.3475
버섯덮밥,131,일품요리,232.3,4.3328,5.2279,42.5363,2.173,14.13,1.0007,147.23,0.03,37.08583333,0.14628,0.15395,3.8581,2.589867,0.3411415,0.3558,0.2085
베이컨파래볶음밥,127,일품요리,224.28,5.7676,5.7862,36.4172,1.293,21.47,1.5609,463.96,0.15,42.1275,0.19796,0.08316,37.7016,1.8215296,0.2282079,0.64,1.653
두부베이컨볶음밥,133,일품요리,232.97,8.7327,4.3855,38.0999,1.88,33.51,1.2473,242.64,0.18,49.52916667,0.15297,0.12144,10.638,1.1267964,0.160646,0.3558,1.8615
베이컨주먹밥,103.3,일품요리,233.6,6.3205,6.6123,35.7608,1.03,14.22,0.7766,237.991,0.2,49.425,0.1505,0.0583,17.5135,1.9064795,0.2315694,0,2.204
베이컨채소볶음밥,103,일품요리,200.47,5.3792,2.779,37.1764,0.85,10.16,0.7423,242.14,0.18,51.3125,0.13922,0.07034,30.268,0.2997159,0.0260275,0.3558,1.8615
봄나물덮밥,123,일품요리,219.39,4.672,5.3445,37.6457,2.024,92.2,3.2239,148.99,0,101.8458333,0.18192,0.31622,33.225,2.13866,0.113276,0,0
봄나물비빔밥,65,일품요리,164.98,3.3547,1.213,33.8995,0.771,28.005,1.23705,148.96,0,45.11791667,0.10334,0.10843,3.5202,0.47593565,0.06059935,0,0
브로콜리볶음밥,116,일품요리,226.57,6.6467,5.0478,37.1097,1.18,29.06,1.2268,177.39,34.03,51.67083333,0.12887,0.18034,6.9015,1.8139144,0.2173439,0.3558,17.8885
삼색소보로덮밥,112,일품요리,302.91,9.109,9.9657,41.5774,0.129,22.03,1.5324,189.25,37.9,0.938333333,0.13882,0.23352,1.8075,2.284602,0.2130021,0,17.68
새송이버섯카레라이스,143,일품요리,279.75,8.506,7.0838,47.0483,1.83,20.4,1.6515,15,1.05,48.4625,0.23975,0.11505,3.454,1.801773,0.2085429,0,0.1755
새우간장덮밥,91.8,일품요리,211.246,8.9732,3.13243,34.82338,0.336,29.997,1.4224,181.678,0,24.292,0.09979,0.07619,0.9225,1.3588381,0.16672604,0,0
새우부추볶음밥,135.2,일품요리,234.7,9.383,5.498,35.2785,0.805,39.58,2.2324,156.194,0,70.92916667,0.14455,0.0665,3.179,2.552273,0.329261,0,0
새우채소볶음밥,171.2,일품요리,233.07,9.9917,3.5203,39.2847,2.125,45.14,1.6562,294.284,0.03,80.46666667,0.12222,0.11619,30.505,1.5572669,0.2243314,0.3558,0.2085
새우살굴소스볶음밥,173,일품요리,266.77,9.7577,5.6205,42.7799,1.645,35.86,1.5938,267.69,0.03,77.43333333,0.11082,0.12479,43.349,2.6237249,0.343097,0.3558,0.2085
새우살볶음밥,173,일품요리,256.17,10.1277,5.8225,39.4679,1.825,29.76,2.5898,145.49,0.03,81.7,0.12442,0.10819,42.721,2.5761649,0.348919,0.3558,0.2085
새우편마늘볶음밥,152.3,일품요리,226.167,9.5615,3.4957,37.8466,1.517,35.781,1.5687,155.57,0,77.211,0.11538,0.09796,42.8734,1.5608082,0.2090154,0,0
쇠고기가지덮밥,241,일품요리,329.04,9.3685,11.0318,46.716,2.294,28.7,1.3919,169.59,7.8,47.7875,0.06057,0.23692,6.608,1.681084,0.2130849,0,0
쇠고기굴소스덮밥,156,일품요리,294.12,7.5227,9.7858,42.7597,1.865,25.91,1.3153,162.19,6.53,74.9875,0.12747,0.14754,6.5405,1.6660439,0.2206739,0.3558,0.2085
쇠고기무밥+양념장,86.4,일품요리,214.08,7.48339,5.04138,32.9377,0.2407,9.226,1.10409,17.961,3,1.963916667,0.108117,0.082379,1.6296,0.16477545,0.00793905,0,0
쇠고기부추볶음밥,90.8,일품요리,268.546,7.7173,10.75953,33.26978,0.264,10.567,1.4579,165.018,7.8,23.50033333,0.11058,0.16823,0.935,1.4999025,0.17317214,0,0
쇠고기볶음밥,90.8,일품요리,268.596,7.7163,10.75203,33.30478,0.344,10.367,1.3289,164.868,7.8,24.292,0.10588,0.16893,0.8625,1.5022505,0.17442164,0,0
쇠고기상추비빔밥,176,일품요리,293.59,8.6157,11.2138,38.6461,2.712,57.01,1.9361,97.49,7.8,124.6783333,0.14735,0.24133,8.5465,1.4332734,0.0363355,0,0
불고기야채비빔밥,176,일품요리,293.59,8.6157,11.2138,38.6461,2.712,57.01,1.9361,97.49,7.8,124.6783333,0.14735,0.24133,8.5465,1.4332734,0.0363355,0,0
쇠고기양배추덮밥,146,일품요리,303.09,8.373,11.0853,41.0615,1.584,26.1,1.4359,170.64,7.8,70.54166667,0.12347,0.18467,6.9365,1.687583,0.2147294,0,0
쇠고기잡채덮밥,230,일품요리,604.12,13.222,13.4693,103.419,1.239,41.04,3.4135,189.08,7.8,152.2766667,0.30602,0.28765,17.32,2.519964,0.2172648,0,0
납작김밥,150,일품요리,314.69,8.6495,14.1225,37.0462,1.619,23.44,1.5629,171.9,7.8,109.9133333,0.13242,0.23367,4.6615,2.938752,0.233229,0,0
살코기납작김밥,150,일품요리,314.78,8.6495,14.1306,37.042,1.619,24.4,1.6718,171.78,7.8,110.0333333,0.13242,0.23343,4.6615,2.0825394,2.0780802,0,0
김주먹밥,185,일품요리,237.89,4.5565,6.1775,40.1062,1.619,19.44,0.7909,155.05,0,109.78,0.05572,0.13267,4.4215,2.795283,0.22551,0,0
소고기김주먹밥,147,일품요리,312.88,8.3289,14.5678,36.2332,1.595,21.43,1.4658,38.82,7.8,107.67,0.12355,0.1621,3.8726,3.0441048,0.271609,12.198,0
쇠고기김주먹밥,148,일품요리,313.91,8.4204,14.5678,36.3986,1.603,21.68,1.4821,86.65,7.8,107.67,0.12394,0.17834,3.8726,3.0441048,0.271609,12.198,0
쇠고기주먹밥,70.8,일품요리,221.806,5.2128,6.81503,33.07383,0.5225,8.317,0.96,181.963,3.9,46.91075,0.10331,0.069835,0.7195,1.4336385,0.16988114,0,0
소고기굴소스볶음밥,186,일품요리,298.87,8.3627,11.1393,40.2172,2.175,21.36,1.4973,163.59,7.83,105.8166667,0.12962,0.20134,43.5615,1.7108964,0.2281149,0.3558,0.2085
쇠고기채소볶음밥,256,일품요리,317.39,9.3025,11.0878,43.871,2.199,21.15,1.4584,168.94,7.8,105.6833333,0.06052,0.23857,43.5615,1.7108565,0.2281149,0,0
쇠고기콩나물밥+양념장,88.4,일품요리,218.49,8.12619,5.23098,33.246,0.3697,13.526,1.17509,201.031,3,1.988916667,0.117137,0.097919,0.7781,0.26052555,0.02372655,0,0
돼지불고기덮밥,96,일품요리,215.16,9.85792,3.40535,34.38564,0.5012,10.555,0.92213,162.417,0.9,33.49083333,0.36389,0.167884,0.9971,1.2826663,0.14163746,0,0
돈육불고기덮밥,95.8,일품요리,214.046,9.806,3.31513,34.34198,0.473,8.847,0.90935,162.413,0.9,33.48866667,0.3632,0.16202,0.9971,1.2464042,0.14129444,0,0
쇠고기불고기덮밥,95.8,일품요리,237.146,8.894,6.31213,34.34198,0.473,9.447,1.50935,162.113,1.5,33.48866667,0.1238,0.13712,1.0331,1.2025832,0.13764944,0.099,0
쇠불고기덮밥,175.1,일품요리,322.417,9.2033,13.2074,40.8288,1.669,37.871,2.1485,183.576,7.8,130.496,0.15533,0.28372,22.2305,2.5207365,0.2254003,0,0
유부불고기덮밥,171,일품요리,303.69,9.671,11.6813,39.1505,1.669,65.05,2.3274,179.29,5.2,130.4666667,0.15832,0.23772,22.1505,1.6404885,0.2121459,0,0
해물수제비,240,일품요리,223.2,12.333,2.1945,36.563,2.34,49.9,1.7635,146.05,27.2,50.49583333,0.1207,0.1902,3.566,0.452093,0.0279065,10.875,35.1065
수제비,205,일품요리,197.05,7.424,1.9155,35.811,2.23,27.1,0.96,48.1,27.2,49.37083333,0.1128,0.1277,2.9605,0.450993,0.0253065,0,14.144
시금치데리야끼볶음밥,141,일품요리,201.27,5.0949,3.3699,37.7171,0.888,25.95,1.804,142.54,0,154.1541667,0.16875,0.2033,22.8065,1.540085,0.1993569,0,0
시금치쇠고기덮밥,131,일품요리,257.49,6.3865,7.2453,40.5815,0.909,23.2,1.6824,173.74,3.9,130.1875,0.14187,0.20967,16.9265,1.611961,0.2032749,0,0
쌀국수,110,일품요리,226.7,8.841,4.4865,37.887,0.68,20,0.969,994.45,2.4,0.129166667,0.22955,0.09515,2.878,0.0606005,0.0054435,0,0
양배추소시지덮밥,136,일품요리,262.69,6.744,6.5773,42.9315,1.584,28.8,0.9119,300.24,0.2,70.54166667,0.17617,0.10517,13.5165,2.056612,0.2432544,0,1.324
연근달걀볶음밥,166,일품요리,249.44,7.5665,5.4283,41.099,2.064,34.45,1.4499,193.09,40.8,54.675,0.15527,0.26672,28.005,1.8822,0.2203804,0,21.216
열무비빔밥,165,일품요리,241.31,8.1052,5.8618,37.6989,1.314,69.74,1.8154,114.15,47.6,115.24,0.14948,0.24582,34.717,1.6757071,0.0645978,0,24.752
볶음쌀국수,153,일품요리,259.55,9.6405,6.0378,41.8933,1.385,41.8,0.846,1230.5,1.45,81.62916667,0.37975,0.1066,7.071,1.866066,0.2227569,0.593,0.5815
쌀국수볶음,153,일품요리,243.95,9.3365,4.3298,42.2273,1.47,41.95,0.783,1226.7,0.2,81.6375,0.29005,0.1156,7.219,1.606143,0.2121134,0.593,0.3475
오리엔탈비빔쌀국수,161,일품요리,255.83,9.2247,5.4072,43.3008,1.566,59.18,1.0683,1139.71,1.05,65.39833333,0.33817,0.21579,36.8,1.467337,0.0431266,0,0.1755
완두콩짜장밥,148,일품요리,292.45,10.2355,6.4633,46.6493,2.87,22.55,1.2385,569.95,1.75,72.30833333,0.31005,0.06335,5.7265,2.0760195,0.2273909,0,0.2925
어묵우동,251,일품요리,239.33,9.7,6.6105,34.8459,2.428,91.05,1.6758,390.63,4.8,10.75,0.09774,0.08304,0.52,0.802823,0.07805,6.056,31.436
우동,238.2,일품요리,253.698,9.6796,10.3619,29.8367,2.384,104.8,2.2316,270.356,0,12.7305,0.1046,0.10876,0.834,0.390799,0.030732,0,0
단호박영양밥,81,일품요리,193.55,3.3015,3.2892,36.4764,1.494,11.49,0.7574,148.77,0,84.31916667,0.10372,0.09517,2.9015,1.2906765,0.0330221,0,0
뿌리채소영양밥,141,일품요리,209.15,4.07,3.2237,39.8729,2.314,31.04,0.9714,155.67,0,92.2275,0.13002,0.10722,4.1345,1.2830095,0.0225421,0,0
우엉쇠고기볶음밥,151,일품요리,283.44,7.9465,9.7748,39.557,2.419,27.4,1.4569,166.24,6.5,73.61666667,0.12282,0.19797,2.6035,1.6672945,0.2150949,0,0
건새우우엉주먹밥,126,일품요리,249.36,12.217,4.0746,39.2243,2.069,632.58,3.2189,676.1,0,49.50916667,0.13507,0.11977,1.803,1.450883,0.1457958,0,0
우엉주먹밥,126,일품요리,209.46,4.446,3.2246,39.7878,2.599,29.88,1.0284,153,0,73.52583333,0.11707,0.12502,7.6155,1.4596295,0.1521043,0,0
소고기유부초밥,132,일품요리,304.94,10.2405,11.6488,38.1738,0.825,73.16,1.9989,358.21,5.2,69.87083333,0.1172,0.11517,3.1825,0.1119375,0.0074965,0,0
김가루주먹밥,45,일품요리,175.91,3.24025,3.2182,32.4344,0.004,8.715,0.73965,31.465,0,18.38958333,0.104045,0.07252,2.355,1.2486375,0.0160221,0,0
잔멸치김밥,116,일품요리,260.48,15.568,5.0538,36.1886,0.459,150.87,1.3344,773.47,29.6,45.06166667,0.12432,0.20135,3.8583,1.2730565,0.0504767,122.812,400.656
멸치파래주먹밥,117,일품요리,222.65,7.7487,4.5967,37.3789,1.171,83.37,1.4269,311.76,0,9.539166667,0.12124,0.11841,35.91,1.8732198,0.1632186,47.9136,148.3176
멸치주먹밥,73.3,일품요리,201.187,7.0598,3.625,33.2127,0.53,69.871,0.7289,337.86,0,46.96266667,0.10041,0.02797,1.672,1.353905,0.0819807,59.892,185.397
잔멸치주먹밥,68.3,일품요리,199.837,7.0123,3.623,32.8787,0.445,69.121,0.7189,337.71,0,46.95433333,0.09866,0.02742,1.378,1.353035,0.0819327,59.892,185.397
온메밀국수,113.3,일품요리,297.241,8.17565,1.01238,62.27168,1.968,30.604,0.74469,530.371,0,3.063833333,0.02503,0.081102,1.282,0.5119156,0.0307507,1.5051,5.201
잔치국수,72.6,일품요리,193.912,6.352,2.2243,35.3915,1.48,56.816,0.76325,651.176,0,54.99641667,0.068015,0.07454,1.67385,1.07615785,0.1208382,6.0204,20.804
주꾸미부추볶음밥,131,일품요리,206.29,7.28,3.3908,35.1365,0.759,20.55,1.6784,148.59,0,28.75,0.14202,0.15262,2.133,1.5323755,0.2050334,0,0
두부짜장밥,195,일품요리,350.85,12.9985,9.925,50.6075,3.845,50.3,1.7125,845.45,1.4,115.0916667,0.2798,0.123,5.0765,4.023973,0.515231,0,0.234
삼선짜장밥,170,일품요리,335.85,14.1455,9.372,47.4635,1.935,33.25,1.5655,888.75,2.1,69.10833333,0.336,0.1101,3.3975,3.2216,0.36614,0,0.351
짜장덮밥,104.6,일품요리,270.652,10.5217,4.20275,45.7128,1.275,15.261,0.8973,838.986,0.25,1.277666667,0.17961,0.06022,1.6305,1.5592666,0.1875524,0,0
돈육짜장밥,104.6,일품요리,270.652,10.5217,4.20275,45.7128,1.275,15.261,0.8973,838.986,0.25,1.277666667,0.17961,0.06022,1.6305,1.5592666,0.1875524,0,0
미역국밥,72,일품요리,240.42,8.0174,7.9884,33.5502,1.424,49.7,1.2965,318.83,3,20.7775,0.09425,0.07539,0.2325,1.3312457,0.0402805,34.3232,0
짜장밥,155,일품요리,259.45,11.166,1.7585,48.3115,2.595,23.9,1.0405,842.5,0.25,73.61666667,0.202,0.08565,4.483,0.3093025,0.0316625,0,0
짜장면,115.1,일품요리,199.857,7.2735,3.8444,32.6245,2.133,16.241,0.358,656.256,0.15,1.3985,0.11399,0.04098,1.2086,1.5220739,0.1614815,0,0
참치깻잎덮밥,115,일품요리,224.48,9.3093,4.2031,35.9913,1.288,45.62,2.4769,206.22,0,113.3183333,0.13815,0.08957,3.1445,1.2801476,0.0436252,0,0
참치채소볶음밥,145,일품요리,245.24,9.1315,6.1676,36.8386,1.64,18.96,2.4435,167.57,0,78.81833333,0.11655,0.0732,35.093,2.3890085,0.2188088,0,0
참치새싹비빔밥,110,일품요리,218.73,9.3018,4.2141,34.4613,1.033,27.17,2.6289,208.97,0,13.20166667,0.1481,0.09562,2.0725,1.2698126,0.0202742,0,0
참치채소비빔밥,100,일품요리,217.43,9.0053,4.1946,34.3083,0.908,24.32,2.5124,208.97,0,35.80583333,0.12945,0.08017,1.4685,1.2697901,0.0192857,0,0
참치비빔밥,115,일품요리,221.58,8.9733,4.1831,35.4623,1.108,25.52,2.4459,209.72,0,58.94333333,0.11625,0.06977,2.8715,1.2731966,0.0191222,0,0
참치주먹밥,112.4,일품요리,226.948,12.00906,3.7226,34.60584,1.0686,22.742,3.12654,313.756,0,49.43866667,0.112146,0.060402,5.5595,0.97559056,0.08156084,0,0
훈제오리볶음밥,106,일품요리,239.82,6.6002,6.9798,36.4792,0.895,10.36,0.9743,157.54,7.03,25.15416667,0.11972,0.06609,11.428,2.1850639,0.2326204,0.8878,1.6425
오리훈제볶음밥,101,일품요리,242.97,6.3947,7.0003,36.8967,0.67,10.26,0.9538,167.24,7.03,25.2125,0.11592,0.04599,11.6655,2.1885134,0.2333524,0.8878,1.6425
연두부볶음밥,134,일품요리,225.2,4.6473,4.0972,41.0126,1.108,20.38,1.0902,165.78,0.03,41.08166667,0.14973,0.06915,22.5906,1.5667985,0.2045604,0.3558,0.2085
채소볶음밥,86.8,일품요리,184.096,3.2996,2.88473,34.88128,0.944,11.597,0.7181,149.888,0,59.18033333,0.10978,0.08014,1.6187,1.3676769,0.17257284,0,0
채소비빔밥,105,일품요리,189.38,3.6478,3.2646,35.4208,1.358,25.67,1.0629,50.42,0,36.20166667,0.14945,0.08782,2.8115,1.2757036,0.0207652,0,0
채소주먹밥,123.2,일품요리,202.11,3.57,3.2077,38.5902,1.94,16.77,0.8309,76.274,0,96.6275,0.126,0.0461,4.504,1.2735655,0.0269121,0,0
충무김밥+반찬,101,일품요리,226.44,8.8818,3.4212,39.2784,0.968,29.69,0.9934,317.77,4.8,31.485,0.1251,0.10612,3.304,1.2771516,0.062958,29.741,124.601
충무김밥,41.4,일품요리,148.824,2.983,0.40618,32.16528,0,5.966,0.6299,73.006,0,12.28766667,0.0999,0.04434,1.57,0.0832425,0.00106814,0,0
쇠고기배추밥+양념장,81.5,일품요리,240.375,6.1776,8.63185,32.70615,0.1025,15.11,1.16955,112.44,5.2,0.48125,0.128965,0.1302,1.6955,1.33211515,0.75769815,0,0
시래기영양밥+양념장,81.5,일품요리,255.025,4.6056,3.48185,49.11615,0.1025,61.11,2.63155,123.69,0,2.560416667,0.172665,0.0862,10.8355,1.23646915,0.75255215,0,0
버섯영양밥+양념장,103,일품요리,188.21,4.652,3.2467,35.6932,0.675,10.69,1.1025,245.83,0,3.823333333,0.12855,0.22865,0.6845,1.2693375,0.0181621,0,0
취나물표고영양밥,93,일품요리,189.96,3.7125,3.3177,36.2442,1.2,39.09,2.22,6.18,0,48.11916667,0.12625,0.19185,3.215,1.2729125,0.0616396,0,0
치즈채소볶음밥,161,일품요리,279.65,7.5724,7.5822,43.8812,1.96,138.8,0.8639,255.79,11.4,81.0375,0.13063,0.10948,34.5569,1.6377503,0.2374764,4.422,0
치킨마요덮밥,96.2,일품요리,258.597,11.1365,6.9946,35.3567,0.081,14.181,0.8886,136.163,17.6,1.965166667,0.16874,0.07724,0.7251,1.1908727,0.1367179,0,7.072
소고기카레라이스,118,일품요리,283.65,7.5535,8.1448,45.2858,1.105,19.75,1.747,14.4,1.8,48.4625,0.1323,0.073,3.4255,1.576261,0.2003064,0,0
쇠고기카레라이스,158,일품요리,306.65,8.8955,9.1028,47.7533,1.92,25.4,1.942,18.5,2.4,75.95416667,0.14695,0.10625,5.0645,1.5987625,0.2103494,0,0
카레볶음우동,168,일품요리,263.4,7.936,7.8923,40.6433,2.865,27.05,1.1965,125.2,1.05,71.32083333,0.21225,0.0513,3.899,2.149125,0.2249699,0,0.1755
카레라이스,128,일품요리,277.4,7.832,7.0523,45.9713,1.345,21.85,1.5805,14.8,1.05,71.45416667,0.23385,0.0537,3.899,1.783749,0.2089859,0,0.1755
두유냉국수,240,일품요리,223,10.1545,4.839,33.1725,3.235,42.1,1.4085,204.45,0,9.9875,0.07135,0.07905,4.199,0.6329275,0.076045,0,0
콩국수,250,일품요리,258.9,12.4555,6.03,37.3015,5.795,164.1,1.4245,105.65,55,10.07916667,0.10765,0.23945,5.316,1.4585745,0.204828,0.84,0
콩나물무밥,97,일품요리,211.84,4.486,2.5498,41.3748,0.52,20.96,0.8885,5.77,0,0.376666667,0.1553,0.03685,1.918,1.0040195,0.0414084,0,0
콩나물밥,75,일품요리,190.5,4.36,0.54,40.7,0.4,15.5,0.8175,4.25,0,0.291666667,0.1435,0.03125,0.45,0.1666625,0.028765,0,0
콩나물무밥+양념장,108,일품요리,216.61,4.8989,2.561,42.2102,0.632,27.47,1.1494,149.26,0,6.236666667,0.15887,0.09733,3.0132,1.0076419,0.0448324,0,0
콩나물밥+양념장,59.4,일품요리,156.63,3.58755,0.61819,32.99693,0.3318,12.009,0.69238,146.887,0,1.055666667,0.111702,0.075641,0.3055,0.2070593,0.01910846,0,0
푸실리파스타,245,일품요리,340.51,12.0821,7.8067,56.7173,5.791,60.66,1.8969,599.24,1.05,112.4583333,0.24731,0.20192,7.0537,3.3037201,0.2772419,0,0.1755
토마토스파게티,255,일품요리,341.06,11.8031,7.8072,57.1888,5.441,53.81,1.8689,595.34,1.05,48.29166667,0.24281,0.21137,42.6952,3.3074656,0.2776439,0,0.1755
달걀볶음밥,79.8,일품요리,211.336,5.8711,4.70353,34.36868,0.235,18.807,1.0532,129.338,34.02,24.28366667,0.11694,0.14307,0.3285,1.6315606,0.17270464,0.2372,17.819
대파달걀볶음밥,79.8,일품요리,203.366,5.4713,4.34153,33.72738,0.331,17.667,1.0316,126.288,27.2,25.43783333,0.11694,0.14714,0.506,1.5791575,0.17274414,0,14.144
닭살옥수수볶음밥,126,일품요리,229.57,8.2392,3.5703,39.4857,1.17,13.76,0.9338,186.69,9.43,50.82916667,0.15022,0.10674,2.5405,1.5754389,0.2076724,0.3558,0.2085
파인콘채소볶음밥,121,일품요리,218.27,3.4857,3.2963,42.3427,1.425,12.76,0.7393,175.24,0.03,50.82916667,0.11697,0.07194,3.727,1.5760119,0.2089564,0.3558,0.2085
쇠고기파인애플볶음밥,138,일품요리,270.55,6.41,8.4533,40.7193,1.5,16.4,1.1345,249,5.25,73.61666667,0.12315,0.13585,3.5975,1.6371325,0.2132874,0.593,0.3475
