name,Weight,Class,Energy,Protein,Fat,Carbohydrate,Total Dietary,Calcium,Iron,Sodium,Vitamin A (Retinol),Vitamin A (Beta-Carotene),Vitamin B1 (Thiamine),Vitamin B2 (Rivoflavin),Vitamin C,Linoleic Acid,Alpha-Linolenic Acid,EPA,DHA
팽이버섯달걀국,49.6,국,39.029,4.27989,1.64116,2.73175,0.9319,54.244,0.91876,171.097,27.2,1.465,0.037704,0.145768,0.30938,0.25015669,0.0192848,6.0204,34.948
팽이버섯맑은국,20.7,국,10.391,1.60226,0.14679,1.4131,0.5966,42.901,0.42689,74.544,0,0.6925,0.016191,0.034622,0.14657,0.02000531,0.0090625,6.0204,20.804
팽이버섯된장국,23.3,국,14.209,1.92369,0.25786,1.80495,0.5979,45.234,0.63676,193.636,0,0.6925,0.038784,0.043048,0.14208,0.02005789,0.0090625,6.0204,20.804
팽이버섯미역된장국,16.8,국,14.754,2.06494,0.31481,1.9387,0.9039,61.049,0.65216,306.561,0,7.73125,0.033054,0.032543,0.03558,0.01764329,0.01335045,18.8916,20.804
팽이장국,22.5,국,4.96,0.64705,0.06065,1.1168,0.487,14.38,0.3374,11.14,0,3.6625,0.0111,0.02998,0.6845,0.0165384,0.0085709,1.5051,5.201
미니해물칼국수,79.7,국,154.431,8.19336,0.80129,27.0061,1.0436,62.591,1.45179,243.394,0,2.25,0.030161,0.050752,1.17657,0.18766001,0.0165088,13.2704,34.779
해물탕,57.2,국,41.634,6.77524,0.5867,2.37832,0.4357,54.922,1.21664,168.093,3,13.42741667,0.037082,0.067639,1.81285,0.071919,0.01478671,20.3053,77.713
호박감자수제비국,78.5,국,107.19,4.83395,0.41605,20.3173,1.676,57.285,1.70765,65.04,0,26.71291667,0.059615,0.05236,3.4171,0.11956435,0.01488945,4.5153,15.603
호박국,34.8,국,13.926,1.57306,0.14004,1.9039,0.6736,49,0.35024,153.845,0,6.239,0.015866,0.026532,1.22022,0.00673156,0.0118841,6.0204,20.804
호박맑은국,34.5,국,13.596,1.55086,0.13674,1.7683,0.6736,46.876,0.33134,144.545,0,6.095,0.015206,0.025182,1.16622,0.00673156,0.0118841,6.0204,20.804
호박양파국,39.5,국,14.946,1.59836,0.13874,2.1023,0.7586,47.626,0.34134,144.695,0,6.103333333,0.016956,0.025732,1.46022,0.00760156,0.0119321,6.0204,20.804
호박잎된장국,46.2,국,27.436,2.79796,0.31034,4.0347,1.4666,104.116,1.03794,193.554,0,86.26166667,0.082366,0.171872,3.24412,0.01086346,0.0535339,6.5724,20.804
호박칼제비국,86.3,국,158.514,6.42964,0.62446,30.30685,1.5229,66.459,2.28831,146.616,0,25.70333333,0.052799,0.055948,2.15263,0.20605974,0.0179822,4.5153,15.603
홍합무국,42.8,국,26.929,4.25969,0.37236,1.44195,0.1019,15.904,1.86786,168.591,9,0.495,0.013574,0.103808,2.04058,0.00357989,0.0014808,0,0
조갯살미역국,45.8,국,52.794,5.55699,2.50911,2.75705,1.0799,62.259,1.29341,410.216,0,15.48083333,0.016679,0.126708,0.85193,0.84315774,0.0271327,54.7424,55.9
홍합미역국,45.8,국,56.394,6.16899,2.61711,2.71705,1.0799,51.459,2.66141,257.016,12,15.48083333,0.008679,0.138708,1.65193,0.84229774,0.0260327,25.7424,0
홍합살맑은국,54.6,국,35.429,5.65229,0.49416,1.81915,0.1139,20.584,2.48106,101.517,12,0.501666667,0.016754,0.137228,2.58738,0.00407309,0.001677,0,0
홍합살미역국,44.2,국,38.52,6.19785,0.62775,2.85795,1.0865,52.031,2.64065,262.9,12,15.5585,0.009355,0.13876,1.71165,0.0099892,0.0153513,25.7424,0
황탯국,34.1,국,51.644,6.24019,2.30186,1.14755,0.2509,37.749,0.38556,139.572,0,0.621666667,0.019724,0.029618,1.61918,0.26764749,1.2426207,0,0
황태국,43.6,국,60.644,7.48419,2.53956,1.48855,0.2509,42.574,0.53866,152.612,13.6,0.597083333,0.027524,0.076208,1.61918,0.31169234,0.93489515,0,7.072
