Morning Snack1,Morning Snack2,Lunch1,Lunch2,Lunch3,Lunch4,Lunch5,Afternoon Snack1,Afternoon Snack2,Dinner1,Dinner2,Dinner3,Dinner4,Dinner5
S열무죽,,수수밥,감자양팟국,돼지고기연근조림,시금치나물,깍두기,S머핀,S우유(100ml),검정콩밥,참치김치찌개,달걀장조림,오이무침,깍두기
S해물죽,,기장밥,얼갈이된장국,찜닭,명엽채볶음,배추김치,S키위,S우유(100ml),백미밥,황탯국,돼지고기채소구이,감자채볶음,배추김치
S우유(200ml),,토마토스파게티,크림스프,콘샐러드,,깍두기,S증편,S보리차,,,,,
S미역죽,,흑미밥,꽃게된장국,돼지고기장조림,가지들깨나물,배추김치,S사과,S우유(100ml),찹쌀현미밥,온도토리묵국,닭갈비구이,상추초무침,깍두기
S잣죽,,차조밥,콩나물국,찹스테이크,부추겉절이,배추김치,S삶은달걀,S우유(100ml),백미밥,순두부찌개,새우살볶음,가지양념무침,배추김치
S감자죽,,돼지고기굴소스볶음밥,애호박맑은국,춘권튀김,양상추샐러드(사우전아일랜드드레싱),깍두기,S토마토,S우유(100ml),수수밥,김칫국,쇠고기부추볶음,콩나물김무침,깍두기
S아욱된장죽,,기장밥,청국장찌개,닭가슴살양배추볶음,두부톳무침,배추김치,S카스텔라,S우유(100ml),차조밥,우렁이된장국,돼지고기수육,양배추숙쌈+쌈장,깍두기
S감자죽,,백미밥,북어미역국,돼지고기잡채,오이무침,배추김치,S케이크,S우유(100ml),,,,,
S키위,S우유(200ml),찹쌀현미밥,청경채된장국,고등어구이,비름나물,깍두기,S무지개떡,S보리차,흑미밥,버섯맑은국,닭가슴살미나리볶음,양배추나물,깍두기
S우유(200ml),,치킨마요덮밥,두부된장국,,S오렌지,배추김치,S크림빵,S보리차,,,,,
S참외,S우유(200ml),기장밥,감자고추장찌개,돼지고기가지볶음,깻잎나물,배추김치,S간장비빔국수,S보리차,검정콩밥,새우맑은국,고등어조림,비름나물된장무침,배추김치
S김치치즈죽,,차조밥,미역국,쇠고기피망볶음,고춧잎나물,배추김치,S단호박샐러드,S우유(100ml),찹쌀현미밥,가지냉국,돼지고기구이,알감자조림,깍두기
S씨리얼,S우유(200ml),열무보리비빔밥,유부장국,달걀후라이,,배추김치,S완자전,S보리차,백미밥,쇠고깃국,소시지채소볶음,미역초무침,배추김치
S오렌지,S우유(200ml),흑미밥,아욱토장국,삼치카레구이,연근흑임자소스무침,배추김치,S모닝빵,S보리차,기장밥,열무된장국,제육볶음,상추쌈,깍두기
S멜론,S우유(200ml),수수밥,조갯살맑은국,두부찹쌀가루부침,오이맛살무침,배추김치,S찐고구마,S보리차,차조밥,콩비지찌개,삼치양념찜,연근조림,깍두기
S우유(200ml),,하이라이스,달걀팟국,치킨너겟+머스타드소스,,배추김치,S절편,S보리차,,,,,
S사과,S우유(200ml),흑미밥,열무된장국,닭가슴살채소볶음,머윗대들깨나물,배추김치,S김가루주먹밥,S보리차,백미밥,두부찌개,쇠고기단호박찜,오이무침,배추김치
S게살죽,,기장밥,뭇국,가지달걀말이,고구마순나물,배추김치,S개피떡,S우유(100ml),찹쌀현미밥,근대된장국,닭가슴살삼색파프리카볶음,머윗대나물,배추김치
S바나나,,돼지고기잡채덮밥,김칫국,S치즈스틱,,깍두기,S마늘빵,S우유(100ml),수수밥,북엇국,채소달걀찜,가지나물,깍두기
S키위,S우유(200ml),검정콩밥,두부된장국,메추리알브로콜리볶음,도라지무침,배추김치,S닭강정,S보리차,기장밥,감자미역국,떡갈비조림,시래기나물,배추김치
S참외,S우유(200ml),차조밥,애호박맑은국,쇠고기불고기,배추나물,깍두기,S연근전,S보리차,흑미밥,콩나물국,두부양념구이,베이컨브로콜리볶음,깍두기
