Morning Snack1,Morning Snack2,Lunch1,Lunch2,Lunch3,Lunch4,Lunch5,Afternoon Snack1,Afternoon Snack2,Dinner1,Dinner2,Dinner3,Dinner4,Dinner5
S고구마죽,,차조밥,두부된장국,오징어볶음,무초절임,배추김치,S수제블루베리우유,,수수밥,머위들깻국,삼치엿장조림,표고버섯볶음,깍두기
S게살죽,,기장밥,애호박맑은국,삼치데리야끼구이,콩나물무침,배추김치,S닭고기주먹밥,S우유(100ml),흑미밥,아욱토장국,돼지고기두루치기,양배추나물,깍두기
S당근죽,,닭살파프리카볶음밥,무채양팟국,감자샐러드,배추김치,,S견과류,S떠먹는요구르트(100ml),차조밥,안매운참치찌개,달걀장조림,취나물무침,깍두기
S흑임자죽,,흑미밥,아욱된장국,채소달걀말이,얼갈이나물,깍두기,S군만두,S우유(100ml),백미밥,설렁탕,두부케첩조림,청경채나물,깍두기
S대구채소죽,,수수밥,떡국떡미역국,쇠고기양파볶음,연근조림,배추김치,S사과,S우유(150ml),잡곡밥,버섯맑은국,오리채소볶음,양상추샐러드(키위드레싱),배추김치
S우유(100ml),,마파두부덮밥,감잣국,표고버섯볶음,토마토카프레제,배추김치,S무지개떡,S유자차,백미밥,시금치된장국,닭가슴살칠리소스볶음,브로콜리숙회(흑임자소스),배추김치
S전복죽,,백미밥,들깨수제비국,연두부+양념장,오이무침,배추김치,S단호박찜,S우유(100ml),수수밥,온도토리묵국,돼지고기단호박찜,무나물,배추김치
S바지락죽,,기장밥,쇠고깃국,고등어조림,맛살콩나물무침,배추김치,S돼지고기잡채,S우유(100ml),흑미밥,유부장국,닭가슴살피망볶음,깻잎나물,깍두기
S감자우유죽,,백미밥,옥수수스프,돈까스,과일샐러드,깍두기,S배,,차조밥,동태살무국,두부스테이크,참나물무침,깍두기
S아욱죽,,수수밥,애호박맑은국,짜장닭볶음,부추전,배추김치,S포도,S우유(150ml),기장밥,우거지된장국,쇠고기채소볶음,도라지강정,깍두기
S땅콩죽,,흑미밥,청국장찌개,돼지고기수육,양배추샐러드(레몬드레싱),깍두기,S고구마맛탕,S우유(150ml),잡곡밥,감잣국,완자전,미역줄기볶음,배추김치
S우유(200ml),,닭고기카레라이스,순두부백탕,무생채,배추김치,,S절편,S오미자차,백미밥,떡국,돼지고기파인애플볶음,숙주나물,깍두기
S닭죽,,수수밥,매콤콩나물국,시금치나물,새우살크림소스볶음,깍두기,S감말랭이,S우유(150ml),수수밥,미역국,함박스테이크,우엉조림,깍두기
S미역죽,,찹쌀현미밥,버섯찌개,돼지갈비찜,감자조림,배추김치,S연근튀김,S우유(100ml),흑미밥,얼갈이된장국,두부채소전,콩나물무침,깍두기
S흑임자죽,,오므라이스,청경채맑은국,코울슬로,채소튀김,깍두기,S방울토마토,S치즈,차조밥,김치어묵국,돼지고기떡갈비,미니새송이버섯볶음,깍두기
S타락죽,,흑미밥,오징엇국,닭안심사과볶음,양파초절임,배추김치,S잔치국수,,기장밥,쇠고기우거지국,낙지볶음,애호박나물,배추김치
S두부들깨죽,,잡곡밥,육개장,고등어카레구이,브로콜리채소볶음,깍두기,S오렌지주스(무가당),S우유(150ml),잡곡밥,양배추된장국,메추리알장조림,잔멸치볶음,깍두기
S우유(200ml),,참치주먹밥,시래기된장국,달걀찜,양배추나물,깍두기,S오미자차,S개피떡,백미밥,안매운김치찌개,쇠고기떡볶음,탕평채,깍두기
S시금치된장죽,,차조밥,감잣국,생선까스+타르타르소스,당근양파볶음,깍두기,S키위,S우유(150ml),수수밥,만둣국,두부양념구이,명엽채볶음,배추김치
S두부부추죽,,수수밥,달걀팟국,돈육간장볶음,깻잎순나물볶음,배추김치,S크림떡볶이,,흑미밥,표고버섯탕,코다리무조림,고사리들깨나물,배추김치
S미역죽,,게살볶음밥,팽이버섯된장국,닭가슴살채소볶음,배추김치,S떠먹는요구르트(100ml),S사과샐러드(마요네즈),S우유(150ml),차조밥,콩나물국,쇠고기산적,호박고지나물,깍두기
S새우죽,,잡곡밥,닭곰탕,참치파프리카볶음,배추나물,깍두기,S찐고구마,S우유(100ml),기장밥,꽃게된장국,채소달걀말이,연근조림,깍두기
S쇠고기죽,,수수밥,미역국,돈육간장볶음,채소전,배추김치,S단감,S우유(100ml),기장밥,버섯들깨탕,토마토스크램블에그,오이나물,배추김치
S수제바나나우유,,치킨마요덮밥,근대된장국,견과류멸치볶음,깍두기,S키위,S잔치국수,,차조밥,콩나물국,쇠고기청경채볶음,무생채,배추김치
S단호박죽,,차조밥,조갯살부추맑은국,두부강정,도라지배무침,배추김치,S수제감자피자,S우유(100ml),잡곡밥,시래기된장국,파돼지불고기,감자채볶음,배추김치
S귤,,흑미밥,쇠고기뭇국,돼지고기폭찹,취나물무침,깍두기,S백설기,S우유(100ml),수수밥,콩가루배춧국,가자미구이,건새우애호박볶음,깍두기
S우유(200ml),,달걀채소볶음밥,북엇국,푸실리샐러드(토마토소스),배추김치,,S잼샌드위치,S매실차,백미밥,미역미소장국,새우굴소스볶음,양배추유자청샐러드,깍두기
S수제블루베리우유,,차조밥,두부된장국,오징어볶음,무초절임,배추김치,S송편,S식혜,수수밥,머위들깻국,삼치엿장조림,표고버섯볶음,깍두기
S게살죽,,기장밥,애호박맑은국,삼치데리야끼구이,콩나물무침,배추김치,S닭고기주먹밥,S우유(100ml),흑미밥,아욱토장국,돼지고기두루치기,양배추나물,깍두기
S견과류,S떠먹는요구르트(100ml),닭살파프리카볶음밥,무채양팟국,감자샐러드,배추김치,,S참나물유부초밥,S배,차조밥,안매운참치찌개,달걀장조림,취나물무침,깍두기
S흑임자죽,,흑미밥,아욱된장국,채소달걀말이,얼갈이나물,깍두기,S군만두,S우유(100ml),백미밥,설렁탕,두부케첩조림,청경채나물,깍두기
S사과,,수수밥,떡국떡미역국,쇠고기양파볶음,연근조림,배추김치,S롤빵,S우유(100ml),잡곡밥,버섯맑은국,오리채소볶음,양상추샐러드(키위드레싱),배추김치
S우유(100ml),,마파두부덮밥,감잣국,표고버섯볶음,토마토카프레제,배추김치,S무지개떡,S유자차,백미밥,시금치된장국,닭가슴살칠리소스볶음,브로콜리숙회+흑임자소스,배추김치
S씨리얼,S우유(100ml),백미밥,들깨수제비국,연두부+양념장,오이무침,배추김치,S식빵+딸기잼,,수수밥,온도토리묵국,돼지고기단호박찜,무나물,배추김치
S바지락죽,,기장밥,쇠고깃국,고등어조림,맛살콩나물무침,배추김치,S돼지고기잡채,S우유(100ml),흑미밥,유부장국,닭가슴살피망볶음,깻잎나물,깍두기
S사과,,백미밥,옥수수스프,돈까스,과일샐러드,깍두기,S단호박꿀찜,S우유(100ml),차조밥,동태살무국,두부스테이크,참나물무침,깍두기
S아욱죽,,수수밥,애호박맑은국,짜장닭볶음,부추전,배추김치,S김가루주먹밥,S우유(100ml),기장밥,우거지된장국,쇠고기채소볶음,도라지강정,깍두기
S포도,S떠먹는요구르트(100ml),흑미밥,청국장찌개,돼지고기수육,양배추샐러드(레몬드레싱),깍두기,S백설기,S매실차,잡곡밥,감잣국,완자전,미역줄기볶음,배추김치
S우유(200ml),,닭고기카레라이스,순두부백탕,무생채,배추김치,,S절편,S오미자차,백미밥,떡국,돼지고기파인애플볶음,숙주나물,깍두기
S단감,S떠먹는요구르트(100ml),수수밥,매콤콩나물국,시금치나물,새우살크림소스볶음,깍두기,S프렌치토스트,,수수밥,미역국,함박스테이크,우엉조림,깍두기
S미역죽,,찹쌀현미밥,버섯찌개,돼지갈비찜,감자조림,배추김치,S연근튀김,S우유(100ml),흑미밥,얼갈이된장국,두부채소전,콩나물무침,깍두기
S오렌지,,오므라이스,청경채맑은국,코울슬로,채소튀김,깍두기,S삶은달걀,S두유(100ml),차조밥,김치어묵국,돼지고기떡갈비,미니새송이버섯볶음,깍두기
S타락죽,,흑미밥,오징엇국,닭안심사과볶음,양파초절임,배추김치,S토마토스파게티,,기장밥,쇠고기우거지국,낙지볶음,애호박나물,배추김치
S방울토마토,S치즈,잡곡밥,육개장,고등어카레구이,브로콜리채소볶음,깍두기,S핫케이크,S우유(100ml),잡곡밥,양배추된장국,메추리알장조림,잔멸치볶음,깍두기
S우유(200ml),,참치주먹밥,시래기된장국,달걀찜,양배추나물,깍두기,S오미자차,S개피떡,백미밥,안매운김치찌개,쇠고기떡볶음,탕평채,깍두기
S키위,S떠먹는요구르트(100ml),차조밥,감잣국,생선까스+타르타르소스,당근양파볶음,깍두기,S시루떡,S매실차,수수밥,만둣국,두부양념구이,명엽채볶음,배추김치
S부추된장죽,,수수밥,달걀팟국,돈육간장볶음,깻잎순나물볶음,배추김치,S크림떡볶이,,흑미밥,표고버섯탕,코다리무조림,고사리들깨나물,배추김치
S사과,,게살볶음밥,팽이버섯된장국,닭가슴살채소볶음,배추김치,S떠먹는요구르트(100ml),S카스텔라,S우유(100ml),차조밥,콩나물국,쇠고기산적,호박고지나물,깍두기
S새우죽,,잡곡밥,닭곰탕,참치파프리카볶음,배추나물,깍두기,S찐고구마,S우유(100ml),기장밥,꽃게된장국,채소달걀말이,연근조림,깍두기
S쇠고기죽,,수수밥,미역국,돈육간장볶음,채소전,배추김치,S단감,S우유(150ml),기장밥,버섯들깨탕,토마토스크램블에그,오이나물,배추김치
S애호박두부죽,,치킨마요덮밥,근대된장국,견과류멸치볶음,깍두기,S키위,S바나나,S우유(150ml),차조밥,콩나물국,쇠고기청경채볶음,무생채,배추김치
S단호박죽,,차조밥,조갯살부추맑은국,두부강정,도라지배무침,배추김치,S잼샌드위치,S우유(150ml),잡곡밥,시래기된장국,파돼지불고기,감자채볶음,배추김치
S연근채소죽,,흑미밥,쇠고기뭇국,돼지고기폭찹,취나물무침,깍두기,S귤,S우유(150ml),수수밥,콩가루배춧국,가자미구이,건새우애호박볶음,깍두기
S우유(100ml),,달걀채소볶음밥,북엇국,푸실리샐러드(토마토소스),배추김치,,S피자빵,S매실차,백미밥,미역미소장국,새우굴소스볶음,양배추유자청샐러드,깍두기
S고구마죽,,차조밥,두부된장국,오징어볶음,무초절임,배추김치,S블루베리,S우유(150ml),수수밥,머위들깻국,삼치엿장조림,표고버섯볶음,깍두기
S게살죽,,기장밥,애호박맑은국,삼치데리야끼구이,콩나물무침,배추김치,S닭고기주먹밥,S우유(100ml),흑미밥,아욱토장국,돼지고기두루치기,양배추나물,깍두기
S당근죽,,닭살파프리카볶음밥,무채양팟국,감자샐러드,배추김치,,S견과류,S떠먹는요구르트(100ml),차조밥,안매운참치찌개,달걀장조림,취나물무침,깍두기
S잣죽,,흑미밥,아욱된장국,채소달걀말이,얼갈이나물,깍두기,S물만두,S우유(150ml),백미밥,설렁탕,두부케첩조림,청경채나물,깍두기
S대구채소죽,,수수밥,떡국떡미역국,쇠고기양파볶음,연근조림,배추김치,S사과,S우유(150ml),잡곡밥,버섯맑은국,오리채소볶음,양상추샐러드(키위드레싱),배추김치
S우유(100ml),,마파두부덮밥,감잣국,표고버섯볶음,토마토카프레제,배추김치,S무지개떡,S유자차,백미밥,시금치된장국,닭가슴살칠리소스볶음,브로콜리숙회+흑임자소스,배추김치
S전복죽,,백미밥,들깨수제비국,연두부+양념장,오이무침,배추김치,S단호박꿀찜,S우유(150ml),수수밥,온도토리묵국,돼지고기단호박찜,무나물,배추김치
S바지락죽,,기장밥,쇠고깃국,고등어조림,맛살콩나물무침,배추김치,S돼지고기잡채,S우유(150ml),흑미밥,유부장국,닭가슴살피망볶음,깻잎나물,깍두기
S감자우유죽,,백미밥,옥수수스프,돈까스,과일샐러드,깍두기,S배,,차조밥,동태살무국,두부스테이크,참나물무침,깍두기
S아욱죽,,수수밥,애호박맑은국,짜장닭볶음,부추전,배추김치,S김가루주먹밥,S우유(100ml),기장밥,우거지된장국,쇠고기채소볶음,도라지강정,깍두기
S땅콩죽,,흑미밥,청국장찌개,돼지고기수육,양배추샐러드(참깨드레싱),깍두기,S고구마맛탕,S우유(100ml),잡곡밥,감잣국,완자전,미역줄기볶음,배추김치
S우유(200ml),,닭고기카레라이스,순두부백탕,무생채,배추김치,,S절편,S오미자차,백미밥,떡국,돼지고기파인애플볶음,숙주나물,깍두기
S닭죽,,수수밥,매콤콩나물국,시금치나물,새우살크림소스볶음,깍두기,S감말랭이,S우유(150ml),수수밥,미역국,함박스테이크,우엉조림,깍두기
S미역죽,,찹쌀현미밥,버섯찌개,돼지갈비찜,감자조림,배추김치,S연근튀김,S우유(100ml),흑미밥,얼갈이된장국,두부채소전,콩나물무침,깍두기
S흑임자죽,,오므라이스,청경채맑은국,코울슬로,채소튀김,깍두기,S방울토마토,S치즈,차조밥,김치어묵국,돼지고기떡갈비,미니새송이버섯볶음,깍두기
S타락죽,,흑미밥,오징엇국,닭안심사과볶음,양파초절임,배추김치,S잔치국수,,기장밥,쇠고기우거지국,낙지볶음,애호박나물,배추김치
S두부들깨죽,,잡곡밥,육개장,고등어카레구이,브로콜리채소볶음,깍두기,S오렌지,S우유(150ml),잡곡밥,양배추된장국,메추리알장조림,잔멸치볶음,깍두기
S우유(200ml),,참치주먹밥,시래기된장국,달걀찜,양배추나물,깍두기,S오미자차,S개피떡,백미밥,안매운김치찌개,쇠고기떡볶음,탕평채,깍두기
S시금치된장죽,,차조밥,감잣국,생선까스+타르타르소스,당근양파볶음,깍두기,S키위,S우유(150ml),수수밥,만둣국,두부양념구이,명엽채볶음,배추김치
S두부부추죽,,수수밥,달걀팟국,돈육간장볶음,깻잎순나물볶음,배추김치,S크림떡볶이,,흑미밥,표고버섯탕,코다리무조림,고사리들깨나물,배추김치
S미역죽,,게살볶음밥,팽이버섯된장국,닭가슴살채소볶음,배추김치,S떠먹는요구르트(100ml),S사과샐러드(마요네즈),S우유(150ml),차조밥,콩나물국,쇠고기산적,호박고지나물,깍두기
S새우죽,,잡곡밥,닭곰탕,참치파프리카볶음,배추나물,깍두기,S찐고구마,S우유(100ml),기장밥,꽃게된장국,채소달걀말이,연근조림,깍두기
S쇠고기죽,,수수밥,미역국,돈육간장볶음,채소전,배추김치,S단감,S우유(100ml),기장밥,버섯들깨탕,토마토스크램블에그,오이나물,배추김치
S바나나,S우유(100ml),치킨마요덮밥,근대된장국,견과류멸치볶음,깍두기,S키위,S잔치국수,,차조밥,콩나물국,쇠고기청경채볶음,무생채,배추김치
S단호박죽,,차조밥,조갯살부추맑은국,두부강정,도라지배무침,배추김치,S잼샌드위치,S우유(100ml),잡곡밥,시래기된장국,파돼지불고기,감자채볶음,배추김치
S귤,,흑미밥,쇠고기뭇국,돼지고기폭찹,취나물무침,깍두기,S백설기,S우유(100ml),수수밥,콩가루배춧국,가자미구이,건새우애호박볶음,깍두기
S우유(200ml),,달걀채소볶음밥,북엇국,푸실리샐러드(토마토소스),배추김치,,S피자빵,S매실차,백미밥,미역미소장국,새우굴소스볶음,양배추유자청샐러드,깍두기
S블루베리,S우유(100ml),차조밥,두부된장국,오징어볶음,무초절임,배추김치,S송편,S식혜,수수밥,머위들깻국,삼치엿장조림,표고버섯볶음,깍두기
S게살죽,,기장밥,애호박맑은국,삼치데리야끼구이,콩나물무침,배추김치,S닭고기주먹밥,S우유(100ml),흑미밥,아욱토장국,돼지고기두루치기,양배추나물,깍두기
S견과류,S떠먹는요구르트(100ml),닭살파프리카볶음밥,무채양팟국,감자샐러드,배추김치,,S참나물유부초밥,S배,차조밥,안매운참치찌개,달걀장조림,취나물무침,깍두기
S잣죽,,흑미밥,아욱된장국,채소달걀말이,얼갈이나물,깍두기,S물만두,S우유(100ml),백미밥,설렁탕,두부케첩조림,청경채나물,깍두기
S사과,,수수밥,떡국떡미역국,쇠고기양파볶음,연근조림,배추김치,S롤빵,S우유(100ml),잡곡밥,버섯맑은국,오리채소볶음,양상추샐러드(키위드레싱),배추김치
S우유(200ml),,마파두부덮밥,감잣국,표고버섯볶음,토마토카프레제,배추김치,S무지개떡,S유자차,백미밥,시금치된장국,닭가슴살칠리소스볶음,브로콜리숙회+흑임자소스,배추김치
S씨리얼,S우유(100ml),백미밥,들깨수제비국,연두부+양념장,오이무침,배추김치,S식빵+딸기잼,,수수밥,온도토리묵국,돼지고기단호박찜,무나물,배추김치
S바지락죽,,기장밥,쇠고깃국,고등어조림,맛살콩나물무침,배추김치,S돼지고기잡채,S우유(100ml),흑미밥,유부장국,닭가슴살피망볶음,깻잎나물,깍두기
S사과,,백미밥,옥수수스프,돈까스,과일샐러드,깍두기,S단호박꿀찜,S우유(100ml),차조밥,동태살무국,두부스테이크,참나물무침,깍두기
S아욱죽,,수수밥,애호박맑은국,짜장닭볶음,부추전,배추김치,S김가루주먹밥,S우유(100ml),기장밥,우거지된장국,쇠고기채소볶음,도라지강정,깍두기
S포도,S떠먹는요구르트(100ml),흑미밥,청국장찌개,돼지고기수육,양배추샐러드(참깨드레싱),깍두기,S백설기,S매실차,잡곡밥,감잣국,완자전,미역줄기볶음,배추김치
S우유(200ml),,닭고기카레라이스,순두부백탕,무생채,배추김치,,S절편,S오미자차,백미밥,떡국,돼지고기파인애플볶음,숙주나물,깍두기
S단감,S떠먹는요구르트(100ml),수수밥,매콤콩나물국,시금치나물,새우살크림소스볶음,깍두기,S프렌치토스트,,수수밥,미역국,함박스테이크,우엉조림,깍두기
S미역죽,,찹쌀현미밥,버섯찌개,돼지갈비찜,감자조림,배추김치,S연근튀김,S우유(100ml),흑미밥,얼갈이된장국,두부채소전,콩나물무침,깍두기
S오렌지,,오므라이스,청경채맑은국,코울슬로,채소튀김,깍두기,S삶은달걀,S두유(100ml),차조밥,김치어묵국,돼지고기떡갈비,미니새송이버섯볶음,깍두기
S타락죽,,흑미밥,오징엇국,닭안심사과볶음,양파초절임,배추김치,S토마토스파게티,,기장밥,쇠고기우거지국,낙지볶음,애호박나물,배추김치
S방울토마토,S치즈,잡곡밥,육개장,고등어카레구이,브로콜리채소볶음,깍두기,S핫케이크,S우유(100ml),잡곡밥,양배추된장국,메추리알장조림,잔멸치볶음,깍두기
S우유(200ml),,참치주먹밥,시래기된장국,달걀찜,양배추나물,깍두기,S오미자차,S개피떡,백미밥,안매운김치찌개,쇠고기떡볶음,탕평채,깍두기
S키위,S떠먹는요구르트(100ml),차조밥,감잣국,생선까스+타르타르소스,당근양파볶음,깍두기,S시루떡,S매실차,수수밥,만둣국,두부양념구이,명엽채볶음,배추김치
S부추된장죽,,수수밥,달걀팟국,돈육간장볶음,깻잎순나물볶음,배추김치,S크림떡볶이,,흑미밥,표고버섯탕,코다리무조림,고사리들깨나물,배추김치
S사과,,게살볶음밥,팽이버섯된장국,닭가슴살채소볶음,배추김치,S떠먹는요구르트(100ml),S카스텔라,S우유(100ml),차조밥,콩나물국,쇠고기산적,호박고지나물,깍두기
S새우죽,,잡곡밥,닭곰탕,참치파프리카볶음,배추나물,깍두기,S찐고구마,S우유(100ml),기장밥,꽃게된장국,채소달걀말이,연근조림,깍두기
S쇠고기채소죽,,기장밥,건새우아욱국,돼지고기양파볶음,마카로니채소샐러드(마요네즈),배추김치,S단감,S우유(150ml),잡곡밥,배추맑은국,참치달걀말이,우엉조림,깍두기
S우유(200ml),,곤드레나물밥+양념장,들깨뭇국,스크램블에그,배추겉절이,S오렌지주스(무가당),S잔치국수,,기장밥,감잣국,삼치카레구이,부추무침,깍두기
S미역죽,,차조밥,오징엇국,쇠고기당면볶음,배추나물,깍두기,S수제블루베리우유,,백미밥,만둣국,치즈닭갈비,고사리들깨나물,배추김치
S오트밀죽,,흑미밥,순두부백탕,새우채소볶음,시금치나물,깍두기,S고구마맛탕,,차조밥,쇠고기당면국,오징어볶음,콩나물무침,배추김치
S흑임자죽,,백미밥(추가),크림소스스파게티,배추김치,오이초절임,과일샐러드,S귤,S떠먹는요구르트(100ml),흑미밥,새우살미역국,마파두부,청경채나물,깍두기
S잣죽,,수수밥,갈비탕,잔멸치볶음,양배추나물,배추김치,S잼샌드위치,S우유(150ml),백미밥,감자된장국,닭가슴살삼색파프리카볶음,오이나물,배추김치
S부추닭죽,,기장밥,유부장국,함박스테이크,오이토마토샐러드(발사믹드레싱),배추김치,S사과,S우유(150ml),수수밥,버섯맑은국,두부간장조림,김자반,깍두기
S우유(200ml),,게살볶음밥,콩나물김칫국,도라지배무침,탕평채,깍두기,S단팥빵,S오미자차,잡곡밥,애호박새우젓국찌개,돼지고기채소볶음,맛살미역줄기볶음,배추김치
S시금치된장죽,,기장밥,안매운김칫국,언양식불고기,맛살콩나물무침,배추김치,S귤,S우유(150ml),수수밥,쇠고깃국,달걀장조림,얼갈이무침,깍두기
S감자우유죽,,잡곡밥,우렁이된장찌개,돼지고기수육,청경채나물,배추김치,S잔치국수,,기장밥,콩나물국,쇠고기파인애플볶음,부추무침,깍두기
S두부부추죽,,시래기영양밥+양념장,무챗국,닭강정,김구이,배추김치,S단감,S떠먹는요구르트(100ml),잡곡밥,근대된장국,돼지고기청경채볶음,푸실리샐러드(토마토소스),배추김치
S게살죽,,백미밥,사골떡국,오징어숙회+유자소스,배추나물,깍두기,S꿀떡,,흑미밥,시래기된장국,완자전,실곤약채소무침,배추김치
S당근죽,,찹쌀현미밥,얼갈이배추국,달걀찜,무생채,배추김치,S배,S우유(150ml),백미밥,시금치된장국,돼지고기떡볶음,연근튀김,깍두기
S우유(200ml),,오므라이스,미소된장국,사과샐러드(마요네즈),양파초절임,깍두기,S약식,S둥글레차,찹쌀현미밥,달걀팟국,쇠고기당면볶음,들깨무나물,배추김치
S시금치된장죽,,기장밥,홍합탕,돼지고기채소볶음,감자조림,배추김치,S키위,S떠먹는요구르트(100ml),백미밥,어묵국,닭가슴살브로콜리볶음,김무침,배추김치
S새우채소죽,,흑미밥,시금치된장국,찜닭,연근조림,배추김치,S찐고구마,S우유(150ml),기장밥,안매운육개장,동태전,양배추나물,깍두기
S애호박두부죽,,백미밥,양송이스프,함박스테이크,푸실리샐러드(토마토소스),깍두기,S견과류,S떠먹는요구르트(100ml),흑미밥,북어뭇국,닭감자조림,시래기된장무침,배추김치
S흑임자죽,,잡곡밥,청국장찌개,고등어구이,미니새송이볶음,배추김치,S삶은달걀,S우유(150ml),백미밥,김칫국,떡갈비채소볶음,오이무침,깍두기
S전복죽,,잡곡밥,근대된장국,돼지고기단호박조림,오이사과무침,배추김치,S수제바나나우유,,흑미밥,버섯찌개,고등어조림,깻잎들깨나물,배추김치
S우유(200ml),,돈육짜장밥,콩나물국,군만두,비트무초절임,배추김치,S방울토마토,S치즈,잡곡밥,배추된장국,돼지고기피망볶음,시금치나물,깍두기
S대구채소죽,,기장밥,아욱된장국,돼지고기굴소스볶음,참나물겉절이,배추김치,S사과,S우유(150ml),백미밥,동태살무국,연근햄버거스테이크,감자당근채볶음,배추김치
S쇠고기채소죽,,잡곡밥,콩비지찌개,늙은호박닭가슴살볶음,고구마줄기볶음,배추김치,S과일샐러드(요거트드레싱),S우유(150ml),참나물유부초밥,미니우동,S치즈스틱,배추김치,
S땅콩죽,,삼색나물비빔밥,부추달걀국,오징어링튀김,유자청두부샐러드,배추김치,S귤,S우유(150ml),잡곡밥,온도토리묵국,닭가슴살버터구이,고사리나물,배추김치
S단호박죽,,검정콩밥,버섯맑은국,쇠불고기,무생채,배추김치,S볶음우동,S우유(150ml),백미밥,닭가슴살미역국,두부간장조림,잔멸치볶음,깍두기
S참치채소죽,,보리밥,두부찌개,돼지고기우엉잡채,매생이전,배추김치,S감말랭이,S떠먹는요구르트(100ml),검정콩밥,호박잎된장국,쇠고기버섯볶음,숙주나물,배추김치
S우유(200ml),,깍두기치즈볶음밥,미소장국,양념꼬치어묵,우엉조림,깍두기,S프렌치토스트,S포도주스,보리밥,매생이떡국,돼지고기데리야끼소스볶음,무초절임,배추김치
S단감,,기장밥,건새우아욱국,돼지고기양파볶음,마카로니채소샐러드(마요네즈),배추김치,S단호박전,S우유(150ml),잡곡밥,배추맑은국,참치달걀말이,우엉조림,깍두기
S우유(200ml),,곤드레나물밥+양념장,들깨뭇국,스크램블에그,배추겉절이,S오렌지주스(무가당),S잔치국수,,기장밥,감잣국,삼치카레구이,부추무침,깍두기
S수제블루베리우유,,차조밥,오징엇국,쇠고기당면볶음,배추나물,깍두기,S롤빵,,백미밥,만둣국,치즈닭갈비,고사리들깨나물,배추김치
S오트밀죽,,흑미밥,순두부백탕,새우채소볶음,시금치나물,깍두기,S고구마맛탕,,차조밥,쇠고기당면국,오징어볶음,콩나물무침,배추김치
S귤,S떠먹는요구르트(100ml),백미밥(추가),크림소스스파게티,배추김치,오이초절임,과일샐러드,S달걀채소볶음밥,,흑미밥,새우살미역국,마파두부,청경채나물,깍두기
S잣죽,,수수밥,갈비탕,잔멸치볶음,양배추나물,배추김치,S잼샌드위치,S우유(150ml),백미밥,감자된장국,닭가슴살삼색파프리카볶음,오이나물,배추김치
S사과,,기장밥,유부장국,함박스테이크,오이토마토샐러드(발사믹드레싱),배추김치,S바람떡,S우유(150ml),수수밥,버섯맑은국,두부간장조림,김자반,깍두기
S우유(200ml),,게살볶음밥,콩나물김칫국,도라지배무침,탕평채,깍두기,S단팥빵,S오미자차,잡곡밥,애호박새우젓국찌개,돼지고기채소볶음,맛살미역줄기볶음,배추김치
S귤,,기장밥,안매운김칫국,언양식불고기,맛살콩나물무침,배추김치,S절편,S우유(150ml),수수밥,쇠고깃국,달걀장조림,얼갈이무침,깍두기
S감자우유죽,,잡곡밥,우렁이된장찌개,돼지고기수육,청경채나물,배추김치,S잔치국수,S떠먹는요구르트(100ml),기장밥,콩나물국,쇠고기파인애플볶음,부추무침,깍두기
S단감,S떠먹는요구르트(100ml),시래기영양밥+양념장,무챗국,닭강정,김구이,배추김치,S유부초밥,,잡곡밥,근대된장국,돼지고기청경채볶음,푸실리샐러드(토마토소스),배추김치
S단호박죽,,백미밥,사골떡국,오징어숙회+유자소스,배추나물,깍두기,S꿀떡,S우유(150ml),흑미밥,시래기된장국,완자전,실곤약채소무침,배추김치
S배,,찹쌀현미밥,얼갈이배추국,달걀찜,무생채,배추김치,S소보로빵,S매실차,백미밥,시금치된장국,돼지고기떡볶음,연근튀김,깍두기
S우유(200ml),,오므라이스,미소된장국,사과샐러드(마요네즈),양파초절임,깍두기,S약식,S둥글레차,찹쌀현미밥,달걀팟국,쇠고기당면볶음,들깨무나물,배추김치
S키위,S떠먹는요구르트(100ml),기장밥,홍합탕,돼지고기채소볶음,감자조림,배추김치,S궁중떡볶이,,백미밥,어묵국,닭가슴살브로콜리볶음,김무침,배추김치
S쇠고기채소죽,,흑미밥,시금치된장국,찜닭,연근조림,배추김치,S찐고구마,S우유(150ml),기장밥,안매운육개장,동태전,양배추나물,깍두기
S견과류,S떠먹는요구르트(100ml),백미밥,양송이스프,함박스테이크,푸실리샐러드(토마토소스),깍두기,S새우튀김,,흑미밥,북어뭇국,닭감자조림,시래기된장무침,배추김치
S흑임자죽,,잡곡밥,청국장찌개,고등어구이,미니새송이볶음,배추김치,S삶은달걀,S우유(150ml),백미밥,김칫국,떡갈비채소볶음,오이무침,깍두기
S수제바나나우유,,잡곡밥,근대된장국,돼지고기단호박조림,오이사과무침,배추김치,S송편,S우유(150ml),흑미밥,버섯찌개,고등어조림,깻잎들깨나물,배추김치
S우유(200ml),,돈육짜장밥,콩나물국,군만두,비트무초절임,배추김치,S방울토마토,S치즈,잡곡밥,배추된장국,돼지고기피망볶음,시금치나물,깍두기
S사과,,기장밥,아욱된장국,돼지고기굴소스볶음,참나물겉절이,배추김치,S핫케이크,S우유(150ml),백미밥,동태살무국,연근햄버거스테이크,감자당근채볶음,배추김치
S쇠고기채소죽,,잡곡밥,콩비지찌개,늙은호박닭가슴살볶음,고구마줄기볶음,배추김치,S과일샐러드(요거트드레싱),S우유(150ml),참나물유부초밥,미니우동,S치즈스틱,배추김치,
