name,weight,Class,Energy,Protein,Fat,Carbohydrate,Total Dietary,Calcium,Iron,Sodium,Vitamin A,Vitamin B1 (Thiamine),Vitamin B2 (Rivoflavin),Vitamin C,Linoleic Acid,Alpha-Linolenic Acid
고춧잎나물,37.5,샐러드,19.147,1.85982,0.35883,3.20371,1.0267,130.571,1.54728,32.078,152.1033333,0.044946,0.119184,8.50382,124.89756,27.1155
고춧잎된장무침,39,샐러드,36.83,1.9965,2.1778,3.2743,0.98,131.63,1.6975,101.54,151.7725,0.05825,0.1205,8.4105,855.1225,36.1824
곤드레나물,37.5,샐러드,14.597,1.29982,0.72983,1.38371,0.0467,95.571,0.73878,30.678,101.82,0.140496,0.066334,4.27932,127.60656,34.5985
곤약김치무침,27,샐러드,21.84,0.32205,2.0097,1.0734,0.495,18.65,0.20365,38.065,10.82833333,0.009195,0.04554,0.8319,833.0618,11.1094
과일땅콩샐러드,45,샐러드,53.68,1.3152,3.2042,5.7369,0.885,15.11,0.1918,12.41,4.208333333,0.02876,0.03002,14.15,1305.0007,118.7435
과일샐러드,50,샐러드,77.05,0.4575,3.8655,11.093,0.815,5.95,0.169,34.75,1.15,0.014,0.07995,1.3035,1983.9905,293.994
과일샐러드(요거트드레싱),65,샐러드,52.9,1.607,1.035,10.035,0.945,39.55,0.1225,23.15,14.9625,0.014,0.10875,1.1775,40.574,5.4265
그린샐러드,40,샐러드,44.25,0.7185,3.827,2.193,0.68,9.3,0.201,23.85,6.558333333,0.0078,0.0373,15.618,1971.903,303.571
근대나물,37.6,샐러드,10.324,0.76068,0.36174,1.39154,1.0003,20.165,0.25132,84.505,89.94441666,0.034471,0.054681,1.90907,132.83026,32.19866
근대나물된장무침,40,샐러드,27.59,0.8623,2.1372,1.4932,0.956,20.35,0.387,160.69,89.59249999,0.0484,0.04707,1.8169,845.4078,41.2549
근대나물무침,46,샐러드,32.09,1.1068,1.2369,4.7834,1.737,21.24,0.389,156.67,102.5875,0.04312,0.12898,1.9538,534.0335,43.5404
김가루부추무침,42,샐러드,30.87,1.1521,2.0951,2.5319,0.278,15,1.1706,110.97,45.0375,0.05698,0.08997,2.8988,838.3516,11.9804
김무침,4.6,샐러드,7.254,0.88328,0.32594,1.06004,0.0608,8.775,0.38317,56.56,37.85025,0.026241,0.068416,1.95332,120.33111,1.78601
깻순나물,28.7,샐러드,36.335,1.40975,2.5739,2.57405,1.5825,84.16,0.6535,67.714,157.7133333,0.08629,0.15894,0.7418,460.59575,1303.5548
깻잎나물,37.9,샐러드,23.255,1.69943,0.76566,3.36386,2.0578,106.024,0.71212,24.353,220.9988333,0.117261,0.194096,1.03247,269.51771,89.14872
깻잎나물무침,34.4,샐러드,22.69,1.7079,0.54808,3.67968,2.119,92.862,0.7042,96.122,195.4935,0.10543,0.20783,0.8545,156.7516,78.42614
깻잎들깨나물,40.4,샐러드,35.19,2.30076,1.56892,4.19968,2.6876,115.897,0.91909,31.056,221.0764167,0.127291,0.204122,1.04882,263.57911,829.77759
깻잎새콤무침,38.4,샐러드,20.212,1.69334,0.39348,3.46668,2.101,104.52,0.70805,57.517,222.2210833,0.11745,0.185134,1.03247,118.82916,87.92331
깻잎순나물,22.9,샐러드,29.615,1.00373,2.18226,1.96046,1.1788,61.909,0.43957,24.443,126.1038333,0.066921,0.117536,0.56972,882.70556,60.03042
깻잎지,23,샐러드,34.25,1.1524,2.2376,2.9643,1.647,48.78,0.5049,96.39,108.3175,0.05927,0.1562,0.6833,948.1301,55.4901
냉이나물,37.5,샐러드,17.747,1.56582,0.34133,3.05321,1.9017,68.971,4.65878,32.428,27.73666667,0.026396,0.117784,8.59482,117.58606,40.8565
냉이된장무침,37.9,샐러드,18.715,1.67886,0.35092,3.14758,1.8776,69.107,4.75234,76.651,27.62016667,0.036796,0.117732,8.56072,99.21456,40.56004
냉이무침,45,샐러드,40.49,2.1244,1.1464,6.6863,2.617,69.5,3.5948,98.55,54.8475,0.03762,0.22933,6.5175,483.0174,39.1014
노각나물,37.3,샐러드,21.49,0.4165,2.0023,0.6013,0.525,6.93,0.0951,102.861,0.018333333,0,0.0056,0.287,835.463,12.2844
노각무침,43.8,샐러드,26.125,0.70815,1.18025,3.7062,1.3645,9.585,0.223,103.521,27.17458333,0.011375,0.060785,0.71835,526.8906,14.8207
느타리버섯김무침,35.4,샐러드,20.09,1.71443,1.14661,2.85906,1.2028,9.139,0.60237,50.263,37.85758333,0.071111,0.134446,2.12597,465.32846,6.05857
느타리버섯나물,37.6,샐러드,9.697,1.02332,0.27483,2.33221,1.3767,1.461,0.25598,64.625,0.349166667,0.054396,0.075084,0.31382,116.23856,1.6145
느타리버섯무침,31.5,샐러드,15.085,0.84975,1.0199,1.8841,1.144,0.555,0.22365,24.375,0.009166667,0.045195,0.06762,0.189,428.2455,5.3407
다시마채무침,40,샐러드,15.85,0.6026,1.0687,1.887,0.038,38.42,0.9431,122.07,24.04916667,0.01188,0.08162,5.1738,417.1181,6.1967
단배추나물,41,샐러드,25.72,0.6446,2.0226,1.3914,0.913,69.3,0.2536,114.88,44.99999999,0.02553,0.07497,7.9178,835.7771,26.4649
단배추된장무침,41,샐러드,26.4,0.6836,2.0966,1.3606,0.897,70.42,0.361,119.04,44.99999999,0.03995,0.04889,7.9178,835.7771,26.4649
단호박견과류샐러드,56,샐러드,113.55,4.4772,6.8075,10.0532,2.283,110.84,0.4345,145.13,103.7883333,0.03397,0.16196,3.661,1337.1309,277.7426
단호박샐러드,55,샐러드,112.2,3.3535,7.199,9.2805,1.725,102.1,0.221,163.65,104.4458333,0.0228,0.1242,3.661,2050.9145,337.353
달래김무침,31.9,샐러드,13.193,0.95306,0.31835,2.46887,0.8261,20.549,1.07447,45.515,42.96958333,0.03042,0.057666,1.24035,119.1317,17.21515
달래무침,39.1,샐러드,15.74,0.712,0.1029,3.5839,0.9295,15.98,0.7758,84.307,26.10958333,0.02087,0.050165,1.6875,47.86225,16.45565
당근숙주나물,36.6,샐러드,9.844,0.61405,0.42065,1.21235,0.6895,5.426,0.0921,69.586,23.22558334,0.02377,0.02249,2.40005,192.06405,17.42445
당근스틱,35,샐러드,10.85,0.357,0.0455,2.4605,1.085,8.4,0.098,8.05,160.8833333,0.01295,0.0217,1.057,29.057,2.765
더덕사과무침,39.3,샐러드,29.653,0.44136,0.14892,7.33118,1.2804,7.062,0.17732,49.992,7.2695,0.019092,0.036978,1.40795,65.89535,5.60463
도라지나물,17.8,샐러드,14.559,0.34252,0.60767,2.10236,0.6902,8.443,0.08613,34.131,0.543416667,0.00306,0.017844,0.83,254.91205,4.32017
도라지나물(간장),15.9,샐러드,12.025,0.33695,0.32908,2.07238,0.634,8.657,0.09765,24.397,0.076833333,0.002265,0.01829,0.759,92.847,1.87514
도라지들깨나물,41.9,샐러드,51.475,1.41383,2.81726,5.70956,2.1928,28.584,0.40532,25.243,0.619666667,0.015151,0.062516,1.84797,838.99381,753.18602
도라지무침,33.1,샐러드,20.535,0.60067,0.05771,4.82778,1.3803,12.716,0.12479,25.78,4.022333333,0.009058,0.027019,1.59497,32.27743,3.24136
도라지배무침,39.3,샐러드,23.705,0.65044,0.07061,5.63486,1.396,11.348,0.17018,73.476,4.610916667,0.01353,0.044188,1.34197,34.29396,3.33227
