name,Energy,Carbohydrate,Fat,Saturated Fatty acid,Trans fatty acid,Protein,Total Dietary Fiber,Calcium,Iron,Sodium,Phosphorus,Vitamin A,Total Ascorbic Acid,Vitamin D (Ergocalciferol + Cholecalciferol),group,rice_group,soup_group,main_group,sub_group,kimch_group,snack_group,dairy_group
쇠고기부추죽,179.94,24.4678,5.8748,1.445,0,1.3597,0,8.16,1.319,14.17,64.13,3.605833333,0.936,0,0,0,0,0,0,0,0,0
쇠고기브로콜리볶음,73.27,3.8591,3.5007,0.844,0,1.570616,0.945,12.11,0.9043,157.04,65.08,27.93,6.693,0,4,0,0,1,0,0,0,0
쇠고기브로콜리조림,69.83,2.7825,3.5048,0.844,0,1.57661,0.969,13.36,0.9804,162.61,69.73,27.91833333,6.693,0,4,0,0,1,0,0,0,0
쇠고기상추비빔밥,315.59,43.3661,11.1638,3.712,0,5.359361,2.712,56.41,1.8561,97.59,114.33,132.345,8.5465,0,1,1,0,0,0,0,0,0
쇠고기스프,81.97,6.3957,4.4943,1.8435,0,0.476286,0.73,5.52,0.4171,10.05,37.23,35.27833333,1.938,0,0,0,0,0,0,0,0,0
쇠고기양배추덮밥,327.39,46.2615,11.0503,3.7126,0,5.24931,1.744,27.9,1.4379,170.74,101.55,80.51666667,7.2915,0,1,1,0,0,0,0,0,0
쇠고기양배추볶음,102.45,1.9487,8.5837,3.0074,0,1.045375,0.695,12.95,0.628,16.75,45.85,29.7,4.263,0,4,0,0,1,0,0,0,0
쇠고기양배추조림,113.06,2.0503,9.5756,3.1524,0,1.02421,0.584,11.88,0.6809,160,49.44,29.655,3.285,0,4,0,0,1,0,0,0,0
쇠고기양송이볶음,101.4,1.7132,8.6042,3.0119,0,1.075075,0.665,8.75,0.733,16.85,59.15,29.59166667,2.307,0,4,0,0,1,0,0,0,0
쇠고기양파볶음,101.25,1.7007,8.5757,3.0034,0,1.016175,0.495,6.95,0.614,15.75,44.25,29.51666667,1.527,0,4,0,0,1,0,0,0,0
쇠고기양파죽,161,24.518,3.842,1.153,0,1.3287,0.17,4.6,0.794,13.7,61.4,2.516666667,0.774,0,0,0,0,0,0,0,0,0
쇠고기잡채덮밥,345.94,50.487,11.1473,3.7001,0,5.33786,1.239,34.6,2.3859,183.24,97.65,159.6916667,17.32,0,1,1,0,0,0,0,0,0
쇠고기장국죽,170.74,25.3863,4.9198,1.1625,0,1.0168,0.545,7.91,0.77,12.42,61.13,27.16833333,1.1895,0,0,0,0,0,0,0,0,0
쇠고기장똑똑이,139.89,1.0378,12.8442,3.5711,0,1.000344,0.426,7.32,0.7551,157.97,58.68,6.568333333,0.2,0,4,0,0,1,0,0,0,0
쇠고기주먹밥,334.9,41.4012,14.0255,4.1431,0,5.210185,1.619,19.84,1.3769,169.42,101.37,105.4275,3.0915,0,1,1,0,0,0,0,0,0
쇠고기찹스테이크,86.4,4.5777,5.3632,1.6744,0,1.3483,1.505,10.1,0.9665,13.9,84.25,32.5125,34.1035,0,4,0,0,1,0,0,0,0
쇠고기찹쌀구이,101.84,1.6512,8.5692,2.9999,0,0.978585,0,2.83,0.604,14.06,39.77,6.5,0.2,0,4,0,0,1,0,0,0,0
쇠고기청경채죽,159.8,24.096,3.8515,1.155,0,1.350925,0.18,16.15,0.831,15.95,64.7,11.9125,2.9625,0,0,0,0,0,0,0,0,0
쇠고기카레라이스,275.25,43.3658,8.0748,1.3131,0,3.194025,1.105,18.75,1.587,13.9,79.8,50.12916667,3.4255,0,1,1,0,0,0,0,0,0
쇠고기타락죽,203.24,28.1513,6.5798,2.2475,0,1.7868,0.545,64.41,0.795,30.42,103.13,54.66833333,1.5845,0,0,0,0,0,0,0,0,0
쇠고기파인애플볶음,92.95,6.0562,5.3232,1.6614,0,1.250875,0.93,6,0.8435,12.6,60.1,30.29583333,32.1805,0,4,0,0,1,0,0,0,0
쇠고기팽이버섯국,56.91,2.229,3.76,1.1594,0,0.814787,0.827,4.03,0.5849,11.75,49.7,2.886666667,1.139,0,3,0,1,0,0,0,0,0
